oid,label
ZTF17aabcraf,1
ZTF17aaaaaiu,0
ZTF17aaaaanw,0
ZTF18aazdgfr,1
ZTF18aaxjvmh,1
ZTF18aaisuxz,1
ZTF18aawhexz,1
ZTF17aacsewe,1
ZTF17aacrrbq,1
ZTF17aablurp,1
ZTF17aacsejv,1
ZTF18aamzkod,1
ZTF18aayjzrf,1
ZTF18aaxtmhi,1
ZTF17aaaacor,0
ZTF17aaaafli,0
ZTF18aazetjg,1
ZTF17aaaafan,0
ZTF17aacadsd,1
ZTF18aazfolj,1
ZTF18aayksyw,1
ZTF17aaaactd,0
ZTF18aazjnwt,1
ZTF18aawqich,1
ZTF17aaaajjq,0
ZTF18aauvefy,1
ZTF17aaaahkc,0
ZTF18aaracvu,1
ZTF17aaaajgb,0
ZTF18aaueouu,1
ZTF17aacqgcc,1
ZTF18aasauch,1
ZTF17aaaajos,0
ZTF17aaaajpu,0
ZTF17aacaija,1
ZTF17aaaaabl,0
ZTF17aaaafnv,0
ZTF17aaaaibz,0
ZTF17aaaajyr,0
ZTF17aacqpjw,1
ZTF17aaaafvj,0
ZTF17aaaahmw,0
ZTF18aaapjtv,1
ZTF18aagrtxs,1
ZTF18aaxxfdg,1
ZTF17aaaahck,0
ZTF17aaaagpt,0
ZTF17aaaajax,0
ZTF17aaaadsd,0
ZTF17aaaaaod,0
ZTF17aaaaiux,0
ZTF17aaaaiwn,0
ZTF17aacrybc,1
ZTF17aaaaazd,0
ZTF18aazvjgk,1
ZTF17aaaadfw,0
ZTF18aazhvgq,1
ZTF18aakvxcn,1
ZTF17aabwhxw,1
ZTF17aaaaahp,0
ZTF17aacrkpd,1
ZTF17aaaaihk,0
ZTF17aaaahvp,0
ZTF17aaaagzk,0
ZTF18aaadvih,1
ZTF17aaaaamp,0
ZTF17aaaaezt,0
ZTF17aacrhmf,1
ZTF17aaaaggu,0
ZTF17aaaajht,0
ZTF17aacnydn,1
ZTF18aahheaj,1
ZTF18aamyxon,1
ZTF18aaqculk,1
ZTF18aazaqsl,1
ZTF17aacqyea,1
ZTF18aaxlyqu,1
ZTF17aaaaawo,0
ZTF17aaaaact,0
ZTF17aaaagow,0
ZTF17aaaaewi,0
ZTF17aaaadux,0
ZTF17aaaahra,0
ZTF17aabnpyo,1
ZTF17aaaacpo,0
ZTF17aaazdiu,1
ZTF18aaxragd,1
ZTF18aawruyr,1
ZTF17aaaajkz,0
ZTF17aaaagyu,0
ZTF17aaaahpc,0
ZTF18aatpuzm,1
ZTF18aakemik,1
ZTF17aaaprpk,1
ZTF18aautycf,1
ZTF17aaaajio,0
ZTF17aaaabmd,0
ZTF17aaaafgo,0
ZTF18aarummj,1
ZTF18aahaxvk,1
ZTF17aabifcc,1
ZTF17aabwhue,1
ZTF17aacqtfj,1
ZTF17aaaaikh,0
ZTF18aatonsq,1
ZTF18aanyksz,1
ZTF18aaylkit,1
ZTF17aaatuvm,1
ZTF17aaaaipn,0
ZTF17aaatvff,1
ZTF17aaayysc,1
ZTF18aazgiwt,1
ZTF17aaaahtg,0
ZTF18aaxpvgh,1
ZTF17aacrkgu,1
ZTF17aaaafvq,0
ZTF17aacqrlr,1
ZTF17aacqoex,1
ZTF18aanmyul,1
ZTF17aacrkmf,1
ZTF17aaaxmnf,1
ZTF18aazdinb,1
ZTF17aaaajmb,0
ZTF18aamqhov,1
ZTF17aacritc,1
ZTF17aaaajix,0
ZTF17aacrhmm,1
ZTF17aaaajjv,0
ZTF17aaaaaxj,0
ZTF17aaaadpr,0
ZTF17aaaahvm,0
ZTF17aaaadjf,0
ZTF17aacqgde,1
ZTF17aaaxnwa,1
ZTF17aaaahfg,0
ZTF17aaaahjy,0
ZTF17aaaaiks,0
ZTF17aaaafmj,0
ZTF18aaywbmt,1
ZTF18aakydia,1
ZTF17aaaagij,0
ZTF17aaaagwl,0
ZTF17aaaajqh,0
ZTF17aaaahcd,0
ZTF17aaaainw,0
ZTF17aaaaecp,0
ZTF17aaaabvx,0
ZTF17aaaafnn,0
ZTF17aaaabdy,0
ZTF17aaaaaie,0
ZTF17aaazgmf,1
ZTF17aaaahcl,0
ZTF17aaaajfo,0
ZTF17aaaajru,0
ZTF17aackywz,1
ZTF17aaaslsw,1
ZTF17aaaabek,0
ZTF17aaaaaze,0
ZTF17aaaagec,0
ZTF18aajlilg,1
ZTF17aacqqdx,1
ZTF17aaaadow,0
ZTF18aaxxota,1
ZTF18aazqsae,1
ZTF18aajviok,1
ZTF17aaaafol,0
ZTF18aazdecf,1
ZTF17aabkvyn,1
ZTF17aaaaclo,0
ZTF17aacqiap,1
ZTF17aaaafeb,0
ZTF17aacghgz,1
ZTF17aaaaarj,0
ZTF17aaaacqr,0
ZTF18aatxvbj,1
ZTF17aaaaejl,0
ZTF17aaaahkn,0
ZTF17aaaafjj,0
ZTF18aapnmwy,1
ZTF17aacadrz,1
ZTF17aaaaiwb,0
ZTF17aaaabdx,0
ZTF17aacqfhf,1
ZTF18aaikcbb,1
ZTF17aaaaawr,0
ZTF17aaaafmx,0
ZTF17aaaaggw,0
ZTF17aaaagdv,0
ZTF18aavqadc,1
ZTF17aacndpz,1
ZTF18aaxbjyr,1
ZTF17aaaagtp,0
ZTF17aaaahec,0
ZTF17aaaajfg,0
ZTF17aacqhxp,1
ZTF18aazhjzt,1
ZTF18aaxuzjn,1
ZTF17aaaaaws,0
ZTF17aaaagxc,0
ZTF17aaaaigv,0
ZTF17aaaahbu,0
ZTF18aaxrcou,1
ZTF17aaaaauw,0
ZTF17aaaaics,0
ZTF17aaaaelk,0
ZTF17aacrdsd,1
ZTF17aacrkms,1
ZTF17aaaafeo,0
ZTF17aaaahfu,0
ZTF18aayjlzu,1
ZTF17aaaadpd,0
ZTF18aazanej,1
ZTF17aaaagda,0
ZTF17aacsnkj,1
ZTF17aaaahkq,0
ZTF17aacrkod,1
ZTF17aaaajod,0
ZTF18aabdivp,1
ZTF17aaaagtj,0
ZTF18aazbnto,1
ZTF17aabulph,1
ZTF18aaxnnuh,1
ZTF17aaaaisg,0
ZTF17aaaaehn,0
ZTF17aabnzge,1
ZTF17aaaadmq,0
ZTF17aaaaaqu,0
ZTF17aaaaase,0
ZTF18aaqdthh,1
ZTF17aacrkiv,1
ZTF18aawrujb,1
ZTF17aaaagpu,0
ZTF17aaaeidu,1
ZTF17aaaaipj,0
ZTF18aamzved,1
ZTF17aaaaehx,0
ZTF17aaaaeaj,0
ZTF18aaxdjzk,1
ZTF17aaaaaui,0
ZTF17aaaajpo,0
ZTF18aayxfdc,1
ZTF18aawoxlj,1
ZTF17aaaahlm,0
ZTF17aaaahkr,0
ZTF17aaaskjm,1
ZTF17aackdei,1
ZTF17aacrcyt,1
ZTF17aaazfsx,1
ZTF17aaccoho,1
ZTF17aaaajhj,0
ZTF17aaaajgs,0
ZTF17aaaahmt,0
ZTF17aabuooa,1
ZTF17aabbbko,1
ZTF17aacrisl,1
ZTF18aayghmb,1
ZTF17aaaafkn,0
ZTF17aacqhvw,1
ZTF18aasycak,1
ZTF18aawmygg,1
ZTF17aabjilv,1
ZTF17aacrhmu,1
ZTF17aacrhmh,1
ZTF17aaaainn,0
ZTF17aabbeas,1
ZTF17aacadrx,1
ZTF17aacsnkc,1
ZTF17aaaaais,0
ZTF17aaaabej,0
ZTF18aajqgok,1
ZTF18aaxafbg,1
ZTF17aaaetcx,1
ZTF17aaaajtv,0
ZTF17aabqcyh,1
ZTF17aackdex,1
ZTF17aaaaedk,0
ZTF17aabbnee,1
ZTF17aaaaatc,0
ZTF17aaaaghb,0
ZTF17aaazgtt,1
ZTF17aaaaitm,0
ZTF17aaaaisv,0
ZTF18aaxnlrc,1
ZTF18abadyyz,1
ZTF17aabqjgx,1
ZTF17aaaahdt,0
ZTF18abacqyk,1
ZTF17aaaaegg,0
ZTF17aacqega,1
ZTF18aavuziy,1
ZTF18aaujzvf,1
ZTF17aaaabrg,0
ZTF17aacrkho,1
ZTF17aacrdse,1
ZTF17aaaaczm,0
ZTF18aawsdpp,1
ZTF17aacrkon,1
ZTF17aacrhnk,1
ZTF17aaaahxk,0
ZTF18aazywer,1
ZTF18aajdxnf,1
ZTF18aatwzfc,1
ZTF17aaaadzy,0
ZTF17aaaywpk,1
ZTF17aaaabcy,0
ZTF17aaaaiop,0
ZTF17aaaajgj,0
ZTF17aaaaaxq,0
ZTF18aaqcfwt,1
ZTF17aaclepw,1
ZTF17aaaadjx,0
ZTF17aaaafxz,0
ZTF17aacrjhk,1
ZTF17aaaajub,0
ZTF17aabnzfu,1
ZTF18aayzzze,1
ZTF17aacfgaq,1
ZTF17aaaaang,0
ZTF17aaaajle,0
ZTF17aaaafky,0
ZTF17aaaajnp,0
ZTF17aaaahcp,0
ZTF17aacqqfe,1
ZTF17aaaacsb,0
ZTF18aasvias,1
ZTF18aayxucr,1
ZTF17aacrrdn,1
ZTF18aauydsn,1
ZTF17aaaahpb,0
ZTF17aaaahvl,0
ZTF17aaaahdy,0
ZTF18aassymb,1
ZTF17aaaahou,0
ZTF18abaanht,1
ZTF18aauenwu,1
ZTF18aayhkvb,1
ZTF18aaxugfs,1
ZTF18aavvnzu,1
ZTF17aaaagww,0
ZTF18ababkge,1
ZTF17aaaahvi,0
ZTF17aaaahjr,0
ZTF17aaaprlb,1
ZTF17aacrhmn,1
ZTF17aaaafjr,0
ZTF17aaaagdb,0
ZTF17aaaajjg,0
ZTF17aaaackk,0
ZTF17aacqnzn,1
ZTF17aacrdqy,1
ZTF17aaaacql,0
ZTF17aaaahcy,0
ZTF17aaajfhp,1
ZTF18aaqclwx,1
ZTF17aaaajnb,0
ZTF18aaokpqe,1
ZTF17aaaaedh,0
ZTF18aarljwo,1
ZTF18abaavnq,1
ZTF17aacqgcb,1
ZTF18aaswjmp,1
ZTF18aahkqzi,1
ZTF17aaaagnw,0
ZTF17aacridi,1
ZTF18aawyxye,1
ZTF17aaaacqx,0
ZTF18aaahvzj,1
ZTF18aasyjhd,1
ZTF18aaxblaw,1
ZTF17aaaaimd,0
ZTF17aaaahed,0
